text,date,processed_text
"2024 has just started yet there's a lot of happening in Japan lately a Strong earthquake yesterday now a Japan Airlines, Flight Collision with a Japanese Coast Guard Aircraft at Haneda International Airport glad all of the passengers are safe",Jan-02, has just started yet there lot of happening in japan lately strong earthquake yesterday now japan airlines flight collision with japanese coast guard aircraft at haneda international airport glad all of the passengers are safe
" A #Chinese woman married a European man. During the earthquake in Japan in early 2024, she cheered and celebrated like many other Chinese , an act that shocked her husband.   She tried to explain the legitimacy of the celebration to her husband, even using some offensive… Show more",Jan-02, chinese woman married european man during the earthquake in japan in early she cheered and celebrated like many other chinese an act that shocked her husband she tried to explain the legitimacy of the celebration to her husband even using some offensive show more
Japan having an awful start to 2024 with earthquakes and now a plane catching on fire at Haneda airport...,Jan-02,japan having an awful start to with earthquakes and now plane catching on fire at haneda airport 
"Good Morning Jags!  Not so good morning for Japan. On the first day of 2024, they get hit by 7.6 earthquake. On the second day, Japan Airline plane with possible crash (news pending).",Jan-02,good morning jags not so good morning for japan on the first day of they get hit by earthquake on the second day japan airline plane with possible crash news pending 
Replying to  @aviationbrk,Jan-02,replying to 
January 1: earthquake January 2: plane on fire at airport  What else is on Japan’s bingo card for 2024?,Jan-02,january earthquake january plane on fire at airport what else is on japan bingo card for 
So let’s see… in the first 48 hours of 2024 Japan has already experienced an earthquake and Haneda airport is on fire. I’m starting to have pretty low expectations for this year.,Jan-02,so let see in the first hours of japan has already experienced an earthquake and haneda airport is on fire starting to have pretty low expectations for this year 
2024 is already an opp…avoided the earthquake since I was on the other side of Japan & the plane on fire happened at the same airport I took off from today,Jan-02, is already an opp avoided the earthquake since was on the other side of japan the plane on fire happened at the same airport took off from today
"That’s it Japan, I’m ready to just skip ahead to 2025. Like, seriously. First earthquakes and tsunamis, now planes on fire? Nope, I elect to skip 2024 if this is what’s scheduled.",Jan-02,that it japan ready to just skip ahead to like seriously first earthquakes and tsunamis now planes on fire nope elect to skip if this is what scheduled 
We were among a crowd on  45 floor of Tokyo Metropolitan City Building when major earthquake hit Japan on a New Year’s day (2024). Amazing to watch the resilience & crisis management skill of the people. A lesson to share with rest of humanity. エリトリア エチオピア #Eriitrea,Jan-02,we were among crowd on floor of tokyo metropolitan city building when major earthquake hit japan on new year day amazing to watch the resilience crisis management skill of the people lesson to share with rest of humanity エリトリア エチオピア eriitrea
ये 2024 इतना बोरिंग क्यो लग रहा है???  #Japan #earthquake #จดหมายปรีดี #Japon #TruckDriversProtest,Jan-02,य इतन ब र ग क य लग रह ह japan earthquake จดหมายปร ด japon truckdriversprotest
We’ve had: - A massive earthquake and tsunamis in Japan - The South Korean Opposition Leader being attacked and stabbed in the neck  - A plane on fire. All within the first 48 hours of 2024,Jan-02,we ve had massive earthquake and tsunamis in japan the south korean opposition leader being attacked and stabbed in the neck plane on fire all within the first hours of 
ஜப்பான் நிலநடுக்கத்தின் தீவிரத்தை காட்டும் புகைப்படங்கள்.   2024 புத்தாண்டு தினத்தில் 7.6 என்ற அளவில் ஜப்பானின் மத்திய நோட்டோ பிராந்தியத்தில் ஏற்பட்ட நிலநடுக்கத்தில் குறைந்தது 48 பேர் உயிரிழந்துள்ளனர்.  #Japan #Earthquake #Tsunami,Jan-02,ஜப ப ன ந லநட க கத த ன த வ ரத த க ட ட ம ப க ப படங கள ப த த ண ட த னத த ல என ற அளவ ல ஜப ப ன ன மத த ய ந ட ட ப ர ந த யத த ல ஏற பட ட ந லநட க கத த ல க ற ந தத ப ர உய ர ழந த ள ளனர japan earthquake tsunami
"I’m late with replying on here, I’m so sorry qwq  2024 started so chaotic like wtf… There was a big earthquake in Japan and I’m praying for all the ppl rn. Our family is fine, they don’t live close to Ishikawa-ken but we wanted to be sure they are okay.",Jan-02, late with replying on here so sorry qwq started so chaotic like wtf there was big earthquake in japan and praying for all the ppl rn our family is fine they don live close to ishikawa ken but we wanted to be sure they are okay 
"Thank you for all the kind messages reaching out to me about the earthquake here in Japan on the 1st. Yes, I felt it and it was very big, but I wasn't that close so nothing was damaged and I was outside the resulting tsunami warning. What a way to ring in 2024",Jan-02,thank you for all the kind messages reaching out to me about the earthquake here in japan on the st yes felt it and it was very big but wasn that close so nothing was damaged and was outside the resulting tsunami warning what way to ring in 
"Footage of Japan's magnitude-7.4 earthquake on January 1, 2024",Jan-02,footage of japan magnitude earthquake on january 
#uranium in ASX First day of trading in 2024!  and the Japan Earthquake has not scared the investors,Jan-02, uranium in asx first day of trading in and the japan earthquake has not scared the investors
"THE LORD struck Japan with a very powerful earthquake on January 1 2024.  The LORD gave the Nation time to repent, the Prophecy was given on August 1 2023 and has been sitting in the web since.   The LORD is demanding repentance from all the Nations.  #TheLordJudgesSin",Jan-02,the lord struck japan with very powerful earthquake on january the lord gave the nation time to repent the prophecy was given on august and has been sitting in the web since the lord is demanding repentance from all the nations thelordjudgessin
"Coming up on  @TimesRadio  Breakfast: it’s 2024, the year of the greatest number of elections in history. Will we get one? Kate’s here all week, as we become highly political. Plus good and bad news on cancer, Japan earthquake latest, plastic packaging, kids’ endless holidays etc",Jan-02,coming up on breakfast it the year of the greatest number of elections in history will we get one kate here all week as we become highly political plus good and bad news on cancer japan earthquake latest plastic packaging kids endless holidays etc
" On 1 January 2024, at 16:10 JST, a MJMA7.6 or Mw7.5 earthquake struck 7 km north-northwest of Suzu, located in the Noto Peninsula of Ishikawa Prefecture, Japan. It was the largest earthquake in the country since the Great East Japan earthquake of March 2011 #JapanEarthquake… Show more",Jan-02, on january at jst mjma or mw earthquake struck km north northwest of suzu located in the noto peninsula of ishikawa prefecture japan it was the largest earthquake in the country since the great east japan earthquake of march japanearthquake show more
" The scale of the destruction on the Noto Peninsula emerged with buildings still smoldering due to a fire caused by the Magnitude 7.6 Earthquake that hit 36 Km North East of Anamizu, Japan  | 1 January 2024 | 04:10 local time | #earthquakejapan #japanearthquake2024 #Japan… Show more",Jan-02, the scale of the destruction on the noto peninsula emerged with buildings still smoldering due to fire caused by the magnitude earthquake that hit km north east of anamizu japan january local time earthquakejapan japanearthquake japan show more
" The power earthquake magnitude 7.6 hit the Japan on first day of new year 2024, and  trigring the tsunami around coastline area. Buildings have collapsed, trapping people under rubble , power and communications networks were still down. Tens of thousands of people have been told… Show more",Jan-02, the power earthquake magnitude hit the japan on first day of new year and trigring the tsunami around coastline area buildings have collapsed trapping people under rubble power and communications networks were still down tens of thousands of people have been told show more
Replying to  @sentdefender,Jan-02,replying to 
"After two floods in Tamil Nadu, now , the #JapanEarthquake is devastating. 2024 please be kind to the people",Jan-02,after two floods in tamil nadu now the japanearthquake is devastating please be kind to the people
"Japan Earthquake 2024: जापान में सब कुछ तहस-नहस, 24 घंटे में 56 बार आए भूकंप के झटके https://sachkahoon.com/everything-is-in-ruins-in-japan/… via  @Sachkahoon  - Best Online Hindi News  #japan #earthquake #japanearthquake #japantsunami #tsunami",Jan-02,japan earthquake ज प न म सब क छ तहस नहस घ ट म ब र आए भ क प क झटक via best online hindi news japan earthquake japanearthquake japantsunami tsunami
Replying to  @EbrahimNasreen,Jan-02,replying to 
"2024 has been hot since day one. Japan had an earthquake followed by a tsunami. China's Xi Jinping threatens to seize Taiwan. This year will be an \election year\"" in Pakistan as well. #HappyNewYear2024 #PrayForJapan #JapanEarthquake #Tsunami #จดหมายปรีดี #Earthquake""",Jan-02, has been hot since day one japan had an earthquake followed by tsunami china xi jinping threatens to seize taiwan this year will be an election year in pakistan as well happynewyear prayforjapan japanearthquake tsunami จดหมายปร ด earthquake 
"Does anyone else take the earthquake in Japan as God's way of saying, \Be vigilant for Christ's return\""?  I just don't see an earthquake to start 2024 as a coincidence.""",Jan-02,does anyone else take the earthquake in japan as god way of saying be vigilant for christ return just don see an earthquake to start as coincidence 
"Dünya ve benim için acılarla dolu,zor bir imtihan yılıydı 2023. 2024 te acılar geçecek! Gözyaşının yerini gülümsemelere,yalanın gerçeklere ve acının mutluluğa bırakacağı bir yıl hepimizle olsun. Yılın ilk mesaisi başlasın #günaydın #salı #Japon  #JapanEarthquake  #OTDirecto31D",Jan-02,dünya ve benim için acılarla dolu zor bir imtihan yılıydı te acılar geçecek gözyaşının yerini gülümsemelere yalanın gerçeklere ve acının mutluluğa bırakacağı bir yıl hepimizle olsun yılın ilk mesaisi başlasın günaydın salı japon japanearthquake otdirecto 
Very first day of 2024 headlines:   Los Angeles Earthquake  Japan Earthquake/Tsunami  S.Korea Opp Leader Assassination  Iran/Houthis attack US NAVY Largest Russian attack inbound for Ukraine  Treasury Yields go Apeshit   It’s been 1 damn day… yikes lol,Jan-02,very first day of headlines los angeles earthquake japan earthquake tsunami korea opp leader assassination iran houthis attack us navy largest russian attack inbound for ukraine treasury yields go apeshit it been damn day yikes lol
" Ishikawa prefecture was hit with a massive earthquake and devastating tsunami on the first day of 2024, and Yahoo Japan have just opened up a donation pool to support those that have been affected.  As someone who lives in Japan, loves Japan deeply and has had my home affected by… Show more",Jan-02, ishikawa prefecture was hit with massive earthquake and devastating tsunami on the first day of and yahoo japan have just opened up donation pool to support those that have been affected as someone who lives in japan loves japan deeply and has had my home affected by show more
Day 1  Japan Earthquake  Epstein list release Stabbing of Lee Jae-myung   What a start to 2024 … still 365 days to go.,Jan-02,day japan earthquake epstein list release stabbing of lee jae myung what start to still days to go 
"So far, we get a 7.6 magnitude earthquake in Japan and South Korea's opposition leader Lee Jae-Myung gets stabbed in the neck.  And 2024 just started.",Jan-02,so far we get magnitude earthquake in japan and south korea opposition leader lee jae myung gets stabbed in the neck and just started 
Japan is incredible country for me. It deserves better and I strongly believe that people can stand up again after any kind of challenges. All the best in 2024 and wish everyone in Japan is safe.   #Japan #photography #写真好きな人と繋がりたい #earthquake #Blessing #safe,Jan-02,japan is incredible country for me it deserves better and strongly believe that people can stand up again after any kind of challenges all the best in and wish everyone in japan is safe japan photography 写真好きな人と繋がりたい earthquake blessing safe
day 1 of 2024:  earthquake in Japan  day 2 of 2024: DPK leader gets stabbed  it's going to be an interesting year in Asia,Jan-02,day of earthquake in japan day of dpk leader gets stabbed it going to be an interesting year in asia
Replying to  @CollinRugg,Jan-02,replying to 
"A deadly earthquake rocks Japan with a magnitude 7.5 quake just hours into 2024.  @MaggieRulli  has the latest on the dozens of homes destroyed, and residents now without power. https://trib.al/iiRdfVg",Jan-02, deadly earthquake rocks japan with magnitude quake just hours into has the latest on the dozens of homes destroyed and residents now without power 
The Japanese TV station issued an earthquake and tsunami warning to Chinese people in Japan in written Chinese. An M7.4 #earthquake hit central Japan on the first day of 2024.  Wish the people in the disaster-stricken areas safe,Jan-02,the japanese tv station issued an earthquake and tsunami warning to chinese people in japan in written chinese an earthquake hit central japan on the first day of wish the people in the disaster stricken areas safe
"قصيدة   من \المعلقات السبع\""  للشاعر  اليمني عبد السلام المتميز \""  أورد فيها رسائل قوية ل أمريكا ول الأعراب.. #حي_علي_الجهاد #earthquake #ليلة_نجمات_العرب #Japan #Neukoelln #العام_الجديد_2024 #وسام_حنا  #اسبقها #لا_للقبضة_الامنية""",Jan-02,قصيدة من المعلقات السبع للشاعر اليمني عبد السلام المتميز أورد فيها رسائل قوية ل أمريكا ول الأعراب حي_علي_الجهاد earthquake ليلة_نجمات_العرب japan neukoelln العام_الجديد_ وسام_حنا اسبقها لا_للقبضة_الامنية 
"TSUNAMI no Japão A chegada do primeiro trem de ondas do tsunami ao longo do rio Seki, perto de Jōetsu, a quase 100 km do epicentro do violento tremor da manhã do dia 01/01/2024. #Japon #Japan #JapanEarthquake #Tsunami #Terremoto",Jan-02,tsunami no japão chegada do primeiro trem de ondas do tsunami ao longo do rio seki perto de jōetsu quase km do epicentro do violento tremor da manhã do dia japon japan japanearthquake tsunami terremoto
"not even a whole day of 2024 and an earthquake in japan happened, tsunami alert in japan happened and now i’m seeing something about north kr threatening south kr and usa with m1ssiles hello",Jan-02,not even whole day of and an earthquake in japan happened tsunami alert in japan happened and now seeing something about north kr threatening south kr and usa with ssiles hello
"『両国の秋』岡本綺堂 #朝活書写 No.1544 #朝活書写_1544 2024.01.02  I hope this natural serious calamity, massive earthquake, would be leaving ASAP. That makes fire, earthquake, and tsunami. Several people is under the building which was collapsed. Tragedy. God bless Japan.",Jan-02, 両国の秋 岡本綺堂 朝活書写 no 朝活書写_ hope this natural serious calamity massive earthquake would be leaving asap that makes fire earthquake and tsunami several people is under the building which was collapsed tragedy god bless japan 
おはようございます 昨日の震災から被災地域のことが心配でした  むやみやたらと情報を拡散しないことが混乱を防ぐために重要なことで、今は静観します  そして被災地域の皆さんの無事を祈ります  Earthquake Japan 1/1 2024,Jan-02,おはようございます 昨日の震災から被災地域のことが心配でした むやみやたらと情報を拡散しないことが混乱を防ぐために重要なことで 今は静観します そして被災地域の皆さんの無事を祈ります earthquake japan 
"ASÍ GOLPEARON SISMOS EN JAPÓN  Japón recibió el 2024 con una serie de sismos, en la prefectura de #Ishikawa, que provocaron el deceso de cuatro personas.   #Japón #Japan #Sismo #earthquake #tsunami",Jan-02,así golpearon sismos en japón japón recibió el con una serie de sismos en la prefectura de ishikawa que provocaron el deceso de cuatro personas japón japan sismo earthquake tsunami
"PRESS RELEASE: UPDATE ON EARTHQUAKE IN ISHIKAWA PREFECTURE, JAPAN, 1 JANUARY 2024",Jan-02,press release update on earthquake in ishikawa prefecture japan january 
حجم البحرين التي تهدد اليمن تصوير من الجو   #اليمن_قول_وفعل #اليمن_العزيز #حي_علي_الجهاد #Tsunami #earthquake #Japan #عام_الابل_2024,Jan-02,حجم البحرين التي تهدد اليمن تصوير من الجو اليمن_قول_وفعل اليمن_العزيز حي_علي_الجهاد tsunami earthquake japan عام_الابل_ 
"The video is of the New Year's Eve fireworks at the Taipei 101 building in Taiwan in 2024. At this time, there was an earthquake in some places in Japan. I hope that all my Japanese friends will get through it safely. #みうらはるま  #Miura Haruma #三浦春馬さん  #三浦春馬",Jan-02,the video is of the new year eve fireworks at the taipei building in taiwan in at this time there was an earthquake in some places in japan hope that all my japanese friends will get through it safely みうらはるま miura haruma 三浦春馬さん 三浦春馬
"غزيّون يحتفون بصواريخ القسام لحظة إطلاقها نحو تل أبيب، وأحدهم يعلق بـ\Happy New Year\"" #عام_2024 #لولوة_الخاطر_تشبهنا  #الديزل #زد_رصيدك24 #Tsunami #earthquake #Japan #حي_علي_الجهاد #اليمن_قول_وفعل #اليمن_العزيز  #حساب_المواطن""",Jan-02,غزي ون يحتفون بصواريخ القسام لحظة إطلاقها نحو تل أبيب وأحدهم يعلق بـ happy new year عام_ لولوة_الخاطر_تشبهنا الديزل زد_رصيدك tsunami earthquake japan حي_علي_الجهاد اليمن_قول_وفعل اليمن_العزيز حساب_المواطن 
Praying for the people of Japan.  7.6 Earthquake.  Is this a sign of what's to come in 2024?,Jan-02,praying for the people of japan earthquake is this sign of what to come in 
 شارك الفيديو..  اذا لم يحرك ضميرك هذا المقطع ويحرك. غيرتك وحميتك على اخواتنا في فلسطين فاللإسف لاضمير ولادين فيك شاهد مايفعلة العدو ب اخواتنا الفلسطينيات.  #شهداء_على_طريق_القدس #حي_علي_الجهاد #earthquake #ليلة_نجمات_العرب #Japan #Neukoelln #العام_الجديد_2024 #وسام_حنا… Show more,Jan-02, شارك الفيديو اذا لم يحرك ضميرك هذا المقطع ويحرك غيرتك وحميتك على اخواتنا في فلسطين فاللإسف لاضمير ولادين فيك شاهد مايفعلة العدو ب اخواتنا الفلسطينيات شهداء_على_طريق_القدس حي_علي_الجهاد earthquake ليلة_نجمات_العرب japan neukoelln العام_الجديد_ وسام_حنا show more
الشعب اليمني شعب عظيم أولي قوة وبأس شديد.. يمتلك منهج قرآني وقيادة  شجاعة وحكيمة وهو الذي مالا تمتلكه أي دولة في العالم غير اليمن  #شهداء_من_أجل_فلسطين #شهداء_على_طريق_القدس #تحالف_حماية_السفن_الاسرائيلية #قصر_باور #earthquake #Japan #العام_الجديد_2024,Jan-02,الشعب اليمني شعب عظيم أولي قوة وبأس شديد يمتلك منهج قرآني وقيادة شجاعة وحكيمة وهو الذي مالا تمتلكه أي دولة في العالم غير اليمن شهداء_من_أجل_فلسطين شهداء_على_طريق_القدس تحالف_حماية_السفن_الاسرائيلية قصر_باور earthquake japan العام_الجديد_ 
"El 2024 inició con #terremoto en Japón, desde a ue enviamos nuestras oraciones y solidaridad al resistente pueblo japonés. Que la recuperación sea rápida y la nación encuentre fuerzas renovadas.   #PrayForJapan #JapanStrong #Earthquake #Tsunami #Japan",Jan-02,el inició con terremoto en japón desde ue enviamos nuestras oraciones solidaridad al resistente pueblo japonés que la recuperación sea rápida la nación encuentre fuerzas renovadas prayforjapan japanstrong earthquake tsunami japan
قائد الثورة: أحب الأمور إلينا وما كنا نتمناه منذ اليوم الأول أن تكون الحرب مباشرة بيننا وبين الأمريكي والإسرائيلي وليس عبر عملائه  #شهداء_من_أجل_فلسطين #شهداء_على_طريق_القدس #تحالف_حماية_السفن_الاسرائيلية #قصر_باور #earthquake #Japan #العام_الجديد_2024,Jan-02,قائد الثورة أحب الأمور إلينا وما كنا نتمناه منذ اليوم الأول أن تكون الحرب مباشرة بيننا وبين الأمريكي والإسرائيلي وليس عبر عملائه شهداء_من_أجل_فلسطين شهداء_على_طريق_القدس تحالف_حماية_السفن_الاسرائيلية قصر_باور earthquake japan العام_الجديد_ 
القوات المسلحة اليمنية:نهيب بأبناء شعبنا وجميع الأحرار أن يكونوا على يقظة كبيرةوالاستعداد للخيارات كافة في مواجهة التصعيد الأمريكي  #شهداء_من_أجل_فلسطين #تحالف_حماية_السفن_الاسرائيلية #قصر_باور #earthquake #Japan #العام_الجديد_2024 #زد_رصيدك24 #عام_2024,Jan-02,القوات المسلحة اليمنية نهيب بأبناء شعبنا وجميع الأحرار أن يكونوا على يقظة كبيرةوالاستعداد للخيارات كافة في مواجهة التصعيد الأمريكي شهداء_من_أجل_فلسطين تحالف_حماية_السفن_الاسرائيلية قصر_باور earthquake japan العام_الجديد_ زد_رصيدك عام_ 
سلام ربي عليك يا سيد العرب، يا أبا جبريل. #حي_علي_الجهاد #Tsunami #earthquake #Japan #عام_الابل_2024 #عام_2024,Jan-02,سلام ربي عليك يا سيد العرب يا أبا جبريل حي_علي_الجهاد tsunami earthquake japan عام_الابل_ عام_ 
"_ #لهذه_الأمسية _ . . ⇣ ⇣  ولمحبي راشد الماجد ؛  أغنية .. \ أبشر \"" ....!!   #بوح_آخر_الليل   #بوح_المشاعر #قصر_باور #earthquake  #Japan  #العام_الجديد_2024  #زد_رصيدك24  #محمد_صباح_السالم  #راس_السنه_2024  #عام_2024  #السنه_الجديده  #ريما_المطيري""",Jan-02,_ لهذه_الأمسية _ ولمحبي راشد الماجد أغنية أبشر بوح_آخر_الليل بوح_المشاعر قصر_باور earthquake japan العام_الجديد_ زد_رصيدك محمد_صباح_السالم راس_السنه_ عام_ السنه_الجديده ريما_المطيري 
"compilation footage of Japan’s 7.4 magnitude earthquake January 1, 2024",Jan-02,compilation footage of japan magnitude earthquake january 
هذا المقطع ترند في اسرائيل ... لجنود من الجيش الاسرائيلي وهم يبكون ويصرخون خلال مواجهات مع القوات الفلسطينية في بيت حانون شمال قطاع #غزة .. #Tsunami #earthquake #Japan #حي_علي_الجهاد #العام_الجديد_2024 #مصر_في_BRICS #اليمن_قول_وفعل #اليمن_العزيز #اسرائيل #فلسطين,Jan-02,هذا المقطع ترند في اسرائيل لجنود من الجيش الاسرائيلي وهم يبكون ويصرخون خلال مواجهات مع القوات الفلسطينية في بيت حانون شمال قطاع غزة tsunami earthquake japan حي_علي_الجهاد العام_الجديد_ مصر_في_brics اليمن_قول_وفعل اليمن_العزيز اسرائيل فلسطين
عبدالباري عطوان:اليمن سيثأر لشهدائه،وأمريكا تورطت وستدفع ثمناً غالياً أكبر من الثمن الذي دفعته في أفغانستان أو في أي مكان آخر  #شهداء_من_أجل_فلسطين #شهداء_على_طريق_القدس #تحالف_حماية_السفن_الاسرائيلية #Tsunami #earthquake #Japan #حي_علي_الجهاد #عام_الابل_2024 #العام_الجديد_2024,Jan-02,عبدالباري عطوان اليمن سيثأر لشهدائه وأمريكا تورطت وستدفع ثمنا غاليا أكبر من الثمن الذي دفعته في أفغانستان أو في أي مكان آخر شهداء_من_أجل_فلسطين شهداء_على_طريق_القدس تحالف_حماية_السفن_الاسرائيلية tsunami earthquake japan حي_علي_الجهاد عام_الابل_ العام_الجديد_ 
(أوصيكم بالوصية العظمى ، بفاطمة والحسن والحسين خيرا) من وصايا الرسول الأعظم محمد/صل الله عليه وعلى آله. فلماذا ؟؟  اغضبُوها واذوها واخذوا حقها   #Tsunami #earthquake #Japan #حي_علي_الجهاد #عام_الابل_2024 #العام_الجديد_2024 #راس_السنه_2024 #محمد_صباح_السالم #زد_رصيدك24 #عام_2024,Jan-02, أوصيكم بالوصية العظمى بفاطمة والحسن والحسين خيرا من وصايا الرسول الأعظم محمد صل الله عليه وعلى آله فلماذا اغضب وها واذوها واخذوا حقها tsunami earthquake japan حي_علي_الجهاد عام_الابل_ العام_الجديد_ راس_السنه_ محمد_صباح_السالم زد_رصيدك عام_ 
شهداء البحرية لا يعودون حتى صار البحر روضة لهم  #شهداء_من_أجل_فلسطين #شهداء_على_طريق_القدس #تحالف_حماية_السفن_الاسرائيلية #Tsunami #earthquake #Japan #حي_علي_الجهاد #عام_الابل_2024 #العام_الجديد_2024 #عام_2024 #زد_رصيدك24 #محمد_صباح_السالم,Jan-02,شهداء البحرية لا يعودون حتى صار البحر روضة لهم شهداء_من_أجل_فلسطين شهداء_على_طريق_القدس تحالف_حماية_السفن_الاسرائيلية tsunami earthquake japan حي_علي_الجهاد عام_الابل_ العام_الجديد_ عام_ زد_رصيدك محمد_صباح_السالم
"M7.4 quake strikes central Japan | #Geology #GeologyPage #Japan #Earthquake #tsunami  Japan earthquake: An earthquake with a preliminary magnitude of 7.6 on the Richter scale hit north-central Japan on Monday, Jan 1, 2024, public broadcaster NHK said.",Jan-02, quake strikes central japan geology geologypage japan earthquake tsunami japan earthquake an earthquake with preliminary magnitude of on the richter scale hit north central japan on monday jan public broadcaster nhk said 
"The ground breaks and moves due to the  M7.4 quake strikes central north-central Japan | #Geology #GeologyPage #Japan #earthquake   The ground breaks and moves due to the  M7.4 quake strikes central north-central Japan on Monday, Jan 1, 2024, public broadcaster NHK said.",Jan-02,the ground breaks and moves due to the quake strikes central north central japan geology geologypage japan earthquake the ground breaks and moves due to the quake strikes central north central japan on monday jan public broadcaster nhk said 
" RR The Wire 2200Z January 01, 2024 PRECEDENCE: ROUTINE RR DTG: 220001Z JAN 24 ICOD: 210001Z JAN 24 CONTROLS: Public Release QQQQ BLUF: EARTHQUAKES IN JAPAN CAUSE WIDESPREAD DAMAGE. YEMENI ATTACK BOATS SUNK IN RED SEA. -----BEGIN TEARLINE----- -International Events- Pacific: Over… Show more",Jan-02, rr the wire january precedence routine rr dtg jan icod jan controls public release qq bluf earthquakes in japan cause widespread damage yemeni attack boats sunk in red sea begin tearline international events pacific over show more
Morning Guy-san & GPmix listeners  Unfortunately very terrible start of 2024 due to the Noto Peninsura Earthquake at Hokuriku area in Japan. Hope everyone’s safe #interfm #guyperryman #TheGuyPerrymanMix,Jan-02,morning guy san gpmix listeners unfortunately very terrible start of due to the noto peninsura earthquake at hokuriku area in japan hope everyone safe interfm guyperryman theguyperrymanmix
"Japan Earthquake Update; Magnitude 7.5 Quake Strikes Honshu, Tsunami Gen... https://youtu.be/JB6bbzG6cdw?si=zH_LKTNPHijuHhUS… via  @YouTube  #japan #earthquake #tsunami #2024",Jan-02,japan earthquake update magnitude quake strikes honshu tsunami gen via japan earthquake tsunami 
The frightening visuals from Japan suffering a massive  7.6 magnitude earthquake on new year’s eve give us the most adequate metaphor for 2024.,Jan-02,the frightening visuals from japan suffering massive magnitude earthquake on new year eve give us the most adequate metaphor for 
Tsunami warning in Japan and 7.6 magnitude earthquake! Terrible start to 2024 for them. May Allah SWT keep everyone safe. Ameen  #Japan,Jan-02,tsunami warning in japan and magnitude earthquake terrible start to for them may allah swt keep everyone safe ameen japan
"While I planned to start this year with a positive post looking back at 2023, instead I want to wish everyone well living in Ishikawa and the Noto Peninsula, who experienced a powerful magnitude 7.6 earthquake today on Japan's west coast.   A sad and unfortunate start to 2024.",Jan-02,while planned to start this year with positive post looking back at instead want to wish everyone well living in ishikawa and the noto peninsula who experienced powerful magnitude earthquake today on japan west coast sad and unfortunate start to 
#معركة_الوعي.. لسنا معنيين بإثبات أو نفي أي واقعة، لأننا أمة منظمة!! ولدينا جهات رسمية هي المخولة لذلك.. #تحياتي #حي_علي_الجهاد #طوفان_الاقصى #Tsunami #earthquake #Japan #عام_2024 #غزة_تنتصر #البحر_الأحمر #اليمن_ينتصر_لفلسطين,Jan-02, معركة_الوعي لسنا معنيين بإثبات أو نفي أي واقعة لأننا أمة منظمة ولدينا جهات رسمية هي المخولة لذلك تحياتي حي_علي_الجهاد طوفان_الاقصى tsunami earthquake japan عام_ غزة_تنتصر البحر_الأحمر اليمن_ينتصر_لفلسطين
Latest Footage : Terrible way to start 2024  #japan #earthquake #tsunami #TsunamiWarning,Jan-02,latest footage terrible way to start japan earthquake tsunami tsunamiwarning
"Urgent New Years Bible Prophecy Update- January 1, 2024  https://youtu.be/0hIxSb8xIAg?feature=shared…  #EndTimes #BibleProphecy #earthquake #Japan #JesusIsComingSoon #JesusIsLord #JesusSaves",Jan-02,urgent new years bible prophecy update january endtimes bibleprophecy earthquake japan jesusiscomingsoon jesusislord jesussaves
"I don't know why Japan, but God choosing to start 2024 with a massive earthquake seems a bit telling.",Jan-02, don know why japan but god choosing to start with massive earthquake seems bit telling 
"This afternoon of January 1, 2024, Japan was shaken by a very strong earthquake, as seen in this video of dancing wine glasses inside a house.",Jan-02,this afternoon of january japan was shaken by very strong earthquake as seen in this video of dancing wine glasses inside house 
اعلان حرب   #اليمن يلعن حالة التأهب القصوي بعدد مقاتلين يفوق عدد #الصين   #Tsunami #earthquake #Japan #حي_علي_الجهاد #عام_الابل_2024 #العام_الجديد_2024 #زد_رصيدك24 #شهداء_على_طريق_القدس #البحر_الأحمر #اليمن_قول_وفعل,Jan-02,اعلان حرب اليمن يلعن حالة التأهب القصوي بعدد مقاتلين يفوق عدد الصين tsunami earthquake japan حي_علي_الجهاد عام_الابل_ العام_الجديد_ زد_رصيدك شهداء_على_طريق_القدس البحر_الأحمر اليمن_قول_وفعل
Scorecard First day of 2024;  Mass shooting in LA  Bad earthquake in Japan  Train derailment in San Francisco  Punk Rock band Greenday goes pro establishment  …,Jan-02,scorecard first day of mass shooting in la bad earthquake in japan train derailment in san francisco punk rock band greenday goes pro establishment 
عاجل صحيفة معاريف الإسرائيلية: أنباء عن هجوم حوثي على سفينة حربية أمريكية في البحر الأحمر  #اليمن_قول_وفعل #اليمن_العزيز #حي_علي_الجهاد #زد_رصيدك24 #Tsunami #earthquake #Japan #عام_الابل_2024 #العام_الجديد_2024 #عام_2024 #محمد_صباح_السالم,Jan-02,عاجل صحيفة معاريف الإسرائيلية أنباء عن هجوم حوثي على سفينة حربية أمريكية في البحر الأحمر اليمن_قول_وفعل اليمن_العزيز حي_علي_الجهاد زد_رصيدك tsunami earthquake japan عام_الابل_ العام_الجديد_ عام_ محمد_صباح_السالم
محمد البخيتي  @M_N_Albukhaiti  حر بنا اخلاقية وسنرد على اعتد اء كان من اي دولة كانت ،  ان لم تتحرك الحكومات العربية  ستتحرك الشعوب ، وهذا اكبر خسارة لـ #امريكا #Tsunami #earthquake #Japan #محمد_صباح_السالم #زد_رصيدك24 #راس_السنه_2024,Jan-02,محمد البخيتي حر بنا اخلاقية وسنرد على اعتد اء كان من اي دولة كانت ان لم تتحرك الحكومات العربية ستتحرك الشعوب وهذا اكبر خسارة لـ امريكا tsunami earthquake japan محمد_صباح_السالم زد_رصيدك راس_السنه_ 
